path,folder,label,region,filename,extension,file_bytes,width,height,aspect_ratio,pixels,sha256,pixel_sha256,mean_r,mean_g,mean_b,label_encoded,region_encoded,region_Amravati,region_Nagpur,region_Pune,region_Unknown
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (2).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.06 (2).jpeg,.jpeg,12637,520,247,2.1052631578947367,128440,a6dda55d121e8b88db6eaab9890c389ae9a9ddac21eef796fab94415f7bbed84,03524c7d2819d5b69f079ce17198ed86f2d9f4425372b68f716b4c3aae88d46a,170.28303488009965,154.9217533478667,97.6170819059483,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.06.jpeg,.jpeg,13318,247,520,0.475,128440,2259e1a03f9324966bd5b3f9e8d3db2f26bca6bbd32b5bfeaf3c5c5bebad63de,23d8b25ca3983afb8c48558e2d40bd2f35e74a8789f4545e771c36f286a1305b,142.95052164434756,163.09830270943633,108.95021800062284,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.07.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.07.jpeg,.jpeg,8666,520,247,2.1052631578947367,128440,6fa46db9dbd0034130eb894cd1c07f57d31f9c4d00b202addbc1b703532d9966,48ed96f01908df5557dabc292b5a13a1bfe09d0dde3cba2e7e3fbab869fc2977,159.3642634693242,144.13798660853317,92.46130488944254,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08 (1).jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.08 (1).jpeg,.jpeg,13280,247,520,0.475,128440,bcb641fef1ba0795dfb8700edaaa0267e39265adc0c708804cd9663535efb0c7,16c1ca2f2811e0deee283a3af699f81d385a0aa64c4e2850ebaf46cb497eed6e,155.04198847710992,143.37790407972594,112.41005917159764,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 10.53.08.jpeg,.jpeg,13045,247,520,0.475,128440,dc2784ba7deed61c4e2a11d63668ba00ac012b1a816c4ba499b5733ac6361321,d78cc62258824b33abe87484af94850e9ce85227ff1a35fb3ea01bc03629014f,154.1589302398007,143.96859233883526,86.42620678916225,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.46.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.49.46.jpeg,.jpeg,24514,390,520,0.75,202800,28e75fc6404d7f56a595fecb9bcb00be97155905e250aed95a8bd5f97077b521,9b8f20088a295adc83ccdfb58edb25b0c57072fb380025a4fdff5bba631db2f5,113.520724852071,138.61129191321498,101.24857495069034,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.52.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.49.52.jpeg,.jpeg,24909,390,520,0.75,202800,4f4bcca181f4e5a86fd9bd62008357c8a87f2fad64f8bf5212e761c688fbac92,a26b79eb2ac3195594a56c6f73db8493d6367fc51c98921cdb6544b0015377a4,109.60524654832348,151.953224852071,121.80045364891518,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.25.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.51.25.jpeg,.jpeg,24161,390,520,0.75,202800,5581090b5d8aeed771b2ea044cce1488fec4fa38434999392f7586f6166f7c82,a5334bd7c2633ebacdce158b975d996a4d957d181680936250bc91cd3360be95,132.46922090729782,155.39092702169626,60.53801282051282,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.43.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.51.43.jpeg,.jpeg,35328,390,520,0.75,202800,0de55be057ffe5ec1f2fcafa1744e653fc95c56068a52a4df341588f31bcdc64,b629947b010ef722a9d7fdaee2ce5e50ad9a2d13f8cd9b0c31ffc2a02996ffa7,105.2471794871795,115.84478303747537,87.64417159763313,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.57.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.51.57.jpeg,.jpeg,26977,520,390,1.3333333333333333,202800,a3c8407d22f8b832b32da6642b6804bcdd3954883b32ea65c38c2d9ef18bbb6a,ec9b237e19aba1775a443c148a17d720292bc4a98ac344a21651bc25d6cc8bd9,111.37179980276134,146.64886094674557,117.09104043392504,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.07.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.52.07.jpeg,.jpeg,32825,390,520,0.75,202800,9f419567a2899a69502e2242c9fde69ddcb43294f210399c25a9500cd62d0f24,4d1c165b43408d86a2f52d93d4859d164cd4a43b9eeaf38bcf0c9c1c3c616341,112.41658777120315,145.2800493096647,117.53165187376726,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.26.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.52.26.jpeg,.jpeg,29313,390,520,0.75,202800,f33e9abb397ddcec54ed6fb07081d1ce2efcfc84761cd16a73a625b51aa4688d,f226f67753dd2cfc006ae07ab1fc2198e01d5addc70876269546bb5412e72468,101.62667159763312,117.81580374753452,82.23329881656805,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.47.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.52.47.jpeg,.jpeg,30172,390,520,0.75,202800,40f3f15ef73287e88c4024139035cfc80cc296b9abdc68443886770c8cf73cc3,89964849050343936fdb2dde0e4e0b73231992b61cbb56342b26988f5b94ec5b,122.7638708086785,137.47090729783037,109.1471153846154,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.50.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.52.50.jpeg,.jpeg,31333,390,520,0.75,202800,572b7590977e07b3f34b96e3c279a9614259e692443ec032217004dc8bc82cdd,58e1145495d0f826dae25327a658da87d1f89296542bd43c114715994d897313,109.32575443786982,122.04137573964498,89.62457593688363,0,0,True,False,False,False
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.54.07.jpeg,Amravati_Region_Basil_Plant_Healthy,Healthy,Amravati,WhatsApp Image 2019-09-08 at 17.54.07.jpeg,.jpeg,29710,520,390,1.3333333333333333,202800,35ac1852214e0a2683edea9eb843678ff066cbee85ff4287f8542ccaf107f8a8,177897e1355b0f0c7163ff293e67ec1f795f261d2f4146e3f8a3d6c0f58b0e2a,121.12977810650888,136.33366863905326,106.8173224852071,0,0,True,False,False,False
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0055.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG-20191027-WA0055.jpg,.jpg,9722,300,300,1.0,90000,ceae6c97d8ff36b509fdc4f74a4b41b4ea74617c5c02ef133587963f01fdb612,dda2d7616ecb0461165703e333cd912a3dae2f4e85ba493c27adb738c14fc1b2,206.0917,216.6021,177.5918888888889,0,1,False,True,False,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181145.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20190920_181145.jpg,.jpg,11820,300,300,1.0,90000,b75e8a4af703b9c82f176025fd7f612aa0059d5c6d32dd211b7f5d99a9ca14a8,d0a5e39ac88e64b4c69a32f344a2854e0c5f4c8e417e582dbc00fbe1bb8a2cf6,91.07664444444444,91.13647777777778,85.97718888888889,0,1,False,True,False,False
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181800.jpg,Nagpur_Region_Basil_Plant_Healthy,Healthy,Nagpur,IMG_20190923_181800.jpg,.jpg,9857,300,300,1.0,90000,c27c61e16c71e42c68f09f484c02bd607ff8bdf4828cd014a16200ff10ed60cb,2e0fae095353972ea3c8ee0ce473dd05a9aaad85534df4a824d2b89db4bf7de7,81.24022222222223,81.90528888888889,82.84417777777777,0,1,False,True,False,False
Pune_Region_Basil_Plant_Healthy/IMG_20190908_172155.jpg,Pune_Region_Basil_Plant_Healthy,Healthy,Pune,IMG_20190908_172155.jpg,.jpg,9228,300,300,1.0,90000,6e11186957c7d852392377d5db18d80cc75cedc2d7b2114a78c60a1802d812ee,6366e7f4cf83371cc414d0b8ad10453fe528aad0acbc76edb48963ec02a23265,98.46422222222222,94.11337777777776,85.72236666666667,0,2,False,False,True,False
Basil_Plant_Unhealthy/IMG_20201217_112345.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112345.jpg,.jpg,87267,240,320,0.75,76800,caeb4e66649de9d25976f1b9728644c3b046a5d8d8ed737aed7db54a88589474,ace12c600a2974de83fc78874ee7965de80e385ed6b77bf18b5dc42e1fa6b9c2,128.57260416666668,122.35033854166667,97.77438802083331,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112348.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112348.jpg,.jpg,87145,240,320,0.75,76800,1b51198e2d0678f1f8995b1102be917a3fbe31d1e505955c78f2092b249d8f5b,761b4c89a8645ad76a242e52ef63be4b835758a415566c8e459e2a11c6cd55a9,120.92127604166669,115.5614453125,92.23858072916669,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112352.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112352.jpg,.jpg,89786,240,320,0.75,76800,1201f997dca24ec8f1759992fa4c266f031c78d9ff610899d891a5ea5daf12f0,69bc49290c711019dfa6235877ef7123fa188d7798728f984efb26ae36f2c49f,96.82985677083332,102.623828125,79.5341015625,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112357.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112357.jpg,.jpg,83218,240,320,0.75,76800,545e18a269026ef221f4f199fe673a6a09f48eb02bce2c8e7a0bfcd7eef800db,b1f51408c49df66a241eb1667a4e27dbbb9099d2cb9eea2658fd371ab48652a3,88.8201953125,96.44544270833332,76.172734375,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112408.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112408.jpg,.jpg,81268,240,320,0.75,76800,46090623bf0ecb57d6cfbacc322cef9c5c874fd148a4156adbdcd6f49225a335,eb74662c8e7e550e7133cf710788103c52473aa17c87b4d8b889159c477bfb31,117.17565104166668,114.15364583333331,96.76555989583332,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112411.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112411.jpg,.jpg,90380,240,320,0.75,76800,3beb53d8b3f185775dee3e5a6376ca85afee5658371bb84a1c0941d7c78abc8d,2d876f6f13c6d84777e7b9177fc78a98f58360ee9bfd9d7d4c235fffdc092c7a,135.50295572916667,132.95619791666667,116.35204427083332,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112413.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112413.jpg,.jpg,87192,240,320,0.75,76800,3f84a478bd19c486c5df76be3339700e82224dd92857963e35a0c8fd7b7b3d92,c6ef86d7a601959af48353cba2acb7f5052738d7157f8c6ed4d7cd93b213c221,132.55619791666666,129.22260416666666,110.55415364583334,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112415.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112415.jpg,.jpg,88422,240,320,0.75,76800,02f05f55e6b5bf19d0b30805dd3c7eb466b865fdfc91fbe5daaaffe686d43506,06eab81aacd8b24505a8a129a126a3e756489d8fd6eb09a659098a3d946f037b,136.09372395833333,132.49809895833334,110.21407552083332,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112501.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112501.jpg,.jpg,98886,240,320,0.75,76800,b403f676389a737d4d41528010219b9b10a179416bcd7ddb21bd10796ca66bcc,1b0e4df688509975176069c276a58a36fb5a47b26cd9db29a2fb84ca4f05630a,115.3183203125,125.2236328125,94.66489583333332,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112549.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112549.jpg,.jpg,99507,240,320,0.75,76800,304b3d95a30b629146d4fd5a1f1fdee7777ab762403432506f7b33f42974ac8f,45ee82cea581bb7fe0c811747ada4793fb9ebdef64bcfaeea5e7d7a852f2960c,119.62342447916669,121.1545703125,99.770625,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112600.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112600.jpg,.jpg,104843,240,320,0.75,76800,ee5d698b51ae7a87e6772403c950fb2fbdc2f8d34266df3769814293f1290d50,273e53ceee54758e9be140e9e6d20cb764f56ae9913d911dc5fcc40f31ff76a2,130.7288020833333,134.58447916666665,114.09157552083332,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112604.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112604.jpg,.jpg,107779,240,320,0.75,76800,98f08cc66a7a3c6d5c75d778ebb51a3008f61562adbd38d74248f67f303bcab5,e0e9dd2483a080966a19cb30e96a23652ed1e9d863a5af06987db20af183d84e,117.17174479166668,120.42837239583334,106.25842447916666,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112606.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112606.jpg,.jpg,107975,240,320,0.75,76800,0cca53d375f4fbea0e65aedec808ef323fb7ed52780deff78ccda32bdd91df9b,0f481c15cad77f27632b87d9ca82ab0b57c8f28211fab4313045d042bd1a6a5f,129.18600260416667,131.92436197916666,114.76733072916667,1,3,False,False,False,True
Basil_Plant_Unhealthy/IMG_20201217_112621.jpg,Basil_Plant_Unhealthy,Unhealthy,Unknown,IMG_20201217_112621.jpg,.jpg,92756,240,320,0.75,76800,892b6283dd48000e1e142a607f32236c020e0c4cab32a736c9e8eb2fbf7158ad,4b30a20534bd9fd704a421241c908d69811cdf27ef738b0192b87ce51b21f59f,119.14350260416668,115.9525,96.6328515625,1,3,False,False,False,True
