path,label,width,height,pixel_sha256,phash,split_group,split
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08.jpeg,Healthy,247,520,d78cc62258824b33abe87484af94850e9ce85227ff1a35fb3ea01bc03629014f,4395910859387790567,group-00020,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.46.jpeg,Healthy,390,520,9b8f20088a295adc83ccdfb58edb25b0c57072fb380025a4fdff5bba631db2f5,8823898160642420175,group-00021,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.52.jpeg,Healthy,390,520,a26b79eb2ac3195594a56c6f73db8493d6367fc51c98921cdb6544b0015377a4,8898052338096406699,group-00022,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.25.jpeg,Healthy,390,520,a5334bd7c2633ebacdce158b975d996a4d957d181680936250bc91cd3360be95,4975471847001184475,group-00023,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.43.jpeg,Healthy,390,520,b629947b010ef722a9d7fdaee2ce5e50ad9a2d13f8cd9b0c31ffc2a02996ffa7,559432739267136907,group-00024,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.57.jpeg,Healthy,520,390,ec9b237e19aba1775a443c148a17d720292bc4a98ac344a21651bc25d6cc8bd9,1552111872680512444,group-00025,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.07.jpeg,Healthy,390,520,4d1c165b43408d86a2f52d93d4859d164cd4a43b9eeaf38bcf0c9c1c3c616341,2127931292002693147,group-00026,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.26.jpeg,Healthy,390,520,f226f67753dd2cfc006ae07ab1fc2198e01d5addc70876269546bb5412e72468,2688848096179641539,group-00027,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.47.jpeg,Healthy,390,520,89964849050343936fdb2dde0e4e0b73231992b61cbb56342b26988f5b94ec5b,3740671709092270478,group-00028,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.50.jpeg,Healthy,390,520,58e1145495d0f826dae25327a658da87d1f89296542bd43c114715994d897313,8669278671224525037,group-00029,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.54.07.jpeg,Healthy,520,390,177897e1355b0f0c7163ff293e67ec1f795f261d2f4146e3f8a3d6c0f58b0e2a,2870306830058391231,group-00030,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0053.jpg,Healthy,300,300,609b76e120bb93a115264d452a8a0e7b9051756327dd54baf8f038137337bf4d,4469333868147103320,group-00031,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0054.jpg,Healthy,300,300,76245d1f8a03ec171d46aacab69a1944ffaf694654fd4a9c5c741b73a49e399a,3214518286354379227,group-00032,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0055.jpg,Healthy,300,300,dda2d7616ecb0461165703e333cd912a3dae2f4e85ba493c27adb738c14fc1b2,3588440255010057427,group-00033,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0056.jpg,Healthy,300,300,b0750c30dc9aba93cf5ef021139c9be4d56200ae64cdc9264765affa02a6cb5c,4055007375633393100,group-00034,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0057.jpg,Healthy,300,300,6f9eae0676d74cf866a3239e2e0083dbce1c50a6830c08148e0690767001321a,5076186576933354568,group-00035,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0058.jpg,Healthy,300,300,70049241eca4e924e032ef995c1de66b00c95cd8d661e59fc0327c94da48d0b9,7988261220831971148,group-00036,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0059.jpg,Healthy,300,300,63b00bba350f5334484a336675c1aa21c46215aa31110cfa017d918852971eac,3804777870688774236,group-00037,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0060.jpg,Healthy,300,300,d9d7ff5436f505ec4101977dd99cbbffc11f41c544db0d861fecea5b7ac8a8fb,6776848410228273964,group-00038,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0061.jpg,Healthy,300,300,f4e4a81ace8a7ae31c09043a9554cc5919cb6c3e0444b85744f199f495370bc5,1951015319320620190,group-00039,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0062.jpg,Healthy,300,300,41d0303bbe8a1069e82f5cfa28fe517a3ca02459bb5bd0e58e8cf959df7eb07b,1785795558560475848,group-00040,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0063.jpg,Healthy,300,300,d4a5af7f59798f41304ef0823bb6fe097c954f3f63a09ba1dc251cc08f6ecba5,1664331798073973142,group-00041,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0064.jpg,Healthy,300,300,261c8ff6e75d0f8c130b4bf71c0066388e81573beb1c8c9983d6ec9ea5357e8b,1029971784825518478,group-00042,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0065.jpg,Healthy,300,300,d32468dbee2b660dd3ad040653398cfba436e5ca69240f4d84a93d3c5dd33bf3,3707530235285281174,group-00043,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0066.jpg,Healthy,300,300,1bfdad1e01aa789d0b7531d5949b91102d83c2fd079aca6604507ed6007df043,5051687730389675206,group-00044,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181002.jpg,Healthy,300,300,e8473d1091bdd04edb82f298c5dd3cc6096a3737048a059bf0de34b0ae0345a7,7245439762807136699,group-00045,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181007.jpg,Healthy,300,300,bc4faacefd599e14ed71119a9619118fb39f8ef0502961ac2d7a50b411922372,4732372489211425979,group-00046,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181010.jpg,Healthy,300,300,ec1e0aed971b06edcfe98591f778e199434c2d892034c34b5b5324675ed9152e,1824971243552920766,group-00047,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181021.jpg,Healthy,300,300,61023b7e712cdc559b31eeb49750f247bb4b48f8a0d0fad229d90ddb20ef95e6,5438277507959886318,group-00048,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181027.jpg,Healthy,300,300,32c3263b81369b9de4c66d6e9d0c8f22acec984d39d927bd7a0ab5ccf84ef33b,2059096721744351659,group-00049,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181030.jpg,Healthy,300,300,10ae5b44b6b4abf1603d76ec475713e75ca2da8ffc45f1e1c74e7039604a1486,930417417409475070,group-00050,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181035.jpg,Healthy,300,300,ff827dda248c0cbdf4161f1716aebe636e86d8876b8fb368810798bec5d62360,7542618622277142010,group-00051,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181039.jpg,Healthy,300,300,7508dd8101a75d104fbda7e47b73f0f2f23fba0e65b21bca3e8425ed52299e8f,7252136479631303870,group-00052,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181050.jpg,Healthy,300,300,73974ffc9503098af7e2ba186dd546db4040ca140682ef6fe6ccfe14dcbf5615,5486380396170330555,group-00053,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181057.jpg,Healthy,300,300,4cad45cb01d6fbe2ecb3910c58d874bc5833ae219d9b43bf375b058c30a4d933,5303422998322312043,group-00054,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181101.jpg,Healthy,300,300,4fe2eeda21eb70c0d661e924a439c897059c7811c16ba860341a36cb205afc8a,3220597161460371947,group-00055,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181104.jpg,Healthy,300,300,c579583e1527caf1544f4c4d34f185cedf71abafad43d30fe4259deed87b1d56,5305692683000800427,group-00056,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181118.jpg,Healthy,300,300,ea3b8d7612ec217ff9b3e7db5d7cd961a5d4d8c9ff5fca7f6cdb8fbecd47c9db,1807223412334929643,group-00057,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181128.jpg,Healthy,300,300,e980ee9d0f3d0d3c852be4caa1edec0de1cd3c572b9ab2f2841896676e899c12,5417873350285210814,group-00058,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181133.jpg,Healthy,300,300,df5f1f52729fc89fbe9aaedc026e291291b16eb4b63063eea2986d2aa481bd70,7034133658825070142,group-00059,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181145.jpg,Healthy,300,300,d0a5e39ac88e64b4c69a32f344a2854e0c5f4c8e417e582dbc00fbe1bb8a2cf6,6241051503261073982,group-00060,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181208.jpg,Healthy,300,300,445ed0b8928be5d275a72f9aa20b7959ac605750deb10c0dde461daf5be471c3,3734130506242352315,group-00061,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181213.jpg,Healthy,300,300,808aee3722020b11efc667d69675a44dd7f7e066c58bb5e1b631d1df98af2dd1,2397684542724340542,group-00062,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181225.jpg,Healthy,300,300,b4052da489aebbf760e10e91e21af4fe1d9e9fd1b81668b1b65bd39e66f1934e,2428441105592446059,group-00063,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181231.jpg,Healthy,300,300,dce28c34cfbba2a188b7b0cd349599cd2b99f2aff488dd8cb915952f81b038cc,8671241899708142843,group-00064,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181236.jpg,Healthy,300,300,1c6e15bc8820e46a1593b496483f702d5db1320901abb82205314b63359bd948,2539170444114433259,group-00065,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181240.jpg,Healthy,300,300,b156eb1bcbcfa3dd3781b4a28961eeed48921b1c099395af4246ee20e26ba9f3,3924448139906793899,group-00066,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181250.jpg,Healthy,300,300,c2090ae99ccfb71fd1b2705e93178caed0b70cb9b72218a15b7077b9cc035560,3773579102305804782,group-00067,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181255.jpg,Healthy,300,300,bc66f698b2599a93d7f7776cc0f440c67a3155fe5c59c33aeb7755cbddbb20d1,1976202380027790587,group-00068,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181315.jpg,Healthy,300,300,78efc0feed55d1b8dd9da38efd4e8ea37614f0d956fb6e9ec61d4043a60fd199,4834268500086642411,group-00069,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181319.jpg,Healthy,300,300,aced9719f6e1d70e6bdccb3ab5e1838c206c67b61abcfbe1fe5d9a6daf3c437f,338207381347260139,group-00070,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181538.jpg,Healthy,300,300,28d22bb8808f38de0bbe7a9d1bd5109e7cd86c67793706bc88b79fc82004175f,1860574423398183678,group-00071,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181542.jpg,Healthy,300,300,fb9b91304d889d63077f6b533d536e4278dcdc08b004aec071ce3ac63619edd7,7035992893259462782,group-00072,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181549.jpg,Healthy,300,300,37ca7ab83da8688c51cd90fe78ee2fed94c59f9204654f67012df9d23aa47321,3023701589426373630,group-00073,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181603.jpg,Healthy,300,300,9935fec526f8dfadadf3f2d8a8ea8f060b5c1b839e84820ebe30a5f6f54c2690,5319390905132893755,group-00074,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181607.jpg,Healthy,300,300,0511cd5b7c7462061a0170e1443bc1d1a1d2b38d922c20675402d523baf7a6ee,6508347342499841646,group-00075,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181617.jpg,Healthy,300,300,fdf27ee64baa4a8ef729e827de53df1dc7d23c745d9c1849a762d816c2f399ea,4156987596692201982,group-00076,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181621.jpg,Healthy,300,300,6ffbb0316c44f3613a0419e64d09411c3383339222ca9078c78742bb51040bbf,7140623112322040750,group-00077,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181626.jpg,Healthy,300,300,fabef64f32357a869f81a391d43685d1d88ae2157bfa96a1236e6f1d9262f967,4862909150064412414,group-00078,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181631.jpg,Healthy,300,300,f390f33515d22cf054c64013e7d5170c3525aa131c87cbf6335769dbad14c7d1,5520922692464925931,group-00079,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181646.jpg,Healthy,300,300,8baaca1315c201a71e5097eb904e002eba47999544f10438b46da4b2f46f4495,2163070216976126458,group-00080,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181649.jpg,Healthy,300,300,c2ad9c308253ebea6a47b1ab6d98fa001ef8f91613ce64bcf314ac83014b1683,5631369475079950830,group-00081,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181657.jpg,Healthy,300,300,bac854e1dda3892b288f0c81346760ddb7ea8ca71d969a31941b3a02ef5eb9a2,5645269665620320750,group-00082,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181703.jpg,Healthy,300,300,8cd9ec6a1e76ad865513bea920395cbccbd5e4f1eeb14e7a672eabe6c5caa6dc,565367016493826286,group-00083,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181712.jpg,Healthy,300,300,fb0142d236120bf80b43b762376b927d506f3e354d1410195fa6497e91f27da1,1036168496896332798,group-00084,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181717.jpg,Healthy,300,300,fbb83977bb0d916f598e077cff1719ec8c636410ad8cb01df5eddbcf45ef0488,5285148188698141118,group-00085,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181730.jpg,Healthy,300,300,9ec94a191bbddb21f15e34b8d2b425b3677e28406a86d268dc6396b08d67d544,2035893787050808570,group-00086,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181758.jpg,Healthy,300,300,14e96b496f57e64a6bfc511d4b0698f39f3e852de6286ff7612833d0be94ce47,1285235401708430910,group-00087,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181804.jpg,Healthy,300,300,cd6116494a5e44c06818c49d2005f2ef9a72687cab382112d81baa967d73436f,8657687951090321278,group-00088,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181808.jpg,Healthy,300,300,f3e8508ae8d10a7a7c22050db285f8cbd32b97647d0476e211160c844e6a4753,4739164387911215614,group-00089,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181815.jpg,Healthy,300,300,6af28329fca10a705482ba07b30655cac995f10e848134529c169e84e6c18cc9,8342014250277095166,group-00090,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181939.jpg,Healthy,300,300,db2d31cf0da9af91e699a6ab64ea88050a2d27aa77def05de7ebf5bfae5baf5a,1787333056661443759,group-00091,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181944.jpg,Healthy,300,300,e1b42afa1f8cbd35d3c0948b47a7b598a51d321a886feb6244a850235b39cad5,6039964363283694078,group-00092,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181949.jpg,Healthy,300,300,abc79d3da82e69156103a9a078fc79ca4145d7d3203c9418639fac0578e0ae6b,6639943862361425150,group-00093,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181954.jpg,Healthy,300,300,b80fbdd3e73fb8e91d9251948003e9f0847a8f2e2ed3b6a8fdeda1992a9ed7c1,8133960063214900411,group-00094,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182000.jpg,Healthy,300,300,ae8c80de043f46ac14fe7f4bdbadc4c3870c39f527757338afc5cd9929007e91,7805252546709193198,group-00095,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182004.jpg,Healthy,300,300,e8847039c1479eea5c367ad7dec8af164de3662045e39343502860931a1634b4,416298082713567674,group-00096,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182012.jpg,Healthy,300,300,74b8d7de7826cf62a8a8725ddfe47a3927caf57feaae1fc1eafd261f8f19a35f,7258124550604751339,group-00097,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182022.jpg,Healthy,300,300,20e4cedf812572627490b430f12472e200b57569ffe62e64f4335726050da564,7631033538503280382,group-00098,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182027.jpg,Healthy,300,300,e9353bba05e5b244964d5898b7688f25522e15fe1c7a4524e786e1831af47c2f,8685142790789809726,group-00099,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182032.jpg,Healthy,300,300,dac1cbcc6caf4fb5798e6a3cbb3422721f29a06679644599240433359759fc68,6679232242355687598,group-00100,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182035.jpg,Healthy,300,300,ecca5945c76284cecbf7d2306d80d91dc6edeae8d5cf2cba8b41bd0d7dd93afd,254281244720395499,group-00101,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182038.jpg,Healthy,300,300,d3c3586f382c75493f94b8687f8e1e0845046280040ad9ecebe888a502ed926e,902627938670974123,group-00102,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182045.jpg,Healthy,300,300,e6f4fa0cd570ec1efd4a4b1cc06664aa6b9185dd7668ab670477dd6d59e55cd1,4378601898492674490,group-00103,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182055.jpg,Healthy,300,300,a437987da631e797d8e3c3cb28946feda4c10d69f39df4c510eea07832c99469,644564399113736490,group-00104,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182100.jpg,Healthy,300,300,22930819cb50e8bc9ecc92e2743a6c6d8f944e74bea23a1941bbbf367a630ce1,1356140758227132450,group-00105,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182108.jpg,Healthy,300,300,4fd747b21586681ae6bd1509e48cd15b9954709d530f7db338c6b5493ad426cf,5286534119159485474,group-00106,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182116.jpg,Healthy,300,300,fb52f440e45ec927b95043d97d33f38a9e116ccfe36bf4134fa5100fd516371a,8426382539573789163,group-00107,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182123.jpg,Healthy,300,300,0b53f786a77fff8e5850a8cdb541ddce14c0947e85f0daba332072f63dabbcaa,4256489666751418810,group-00108,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182128.jpg,Healthy,300,300,ccf8c089fe05a85ba780bd148745e770dadf0a422b2f840ca7003c77151247c8,3699913828975858942,group-00110,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182130.jpg,Healthy,300,300,ce2426c5e3813e1155d7bf38823cf67a9b7df9c14e1a3c10698a783576298d6c,3733972301157324030,group-00110,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182142.jpg,Healthy,300,300,3ba372761bf0d0cba4d76f6cb433479f01c20bb81154875c3432073a4b778581,3621903867461394030,group-00111,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182145.jpg,Healthy,300,300,919d7c0b2fc6b369fc7a16db7b0912b024031fcdd617771a451246aed7a79783,1203324133318743678,group-00112,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182201.jpg,Healthy,300,300,b1bd326381e869644256b396aadb62c3aab93b25d7095b63fcea362c6c886b26,3717050901843510658,group-00113,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182215.jpg,Healthy,300,300,99d79d697ff163dbcecb233255667567c0daf4a992d2c0446bf1e26467e91865,6049190870735027438,group-00114,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182219.jpg,Healthy,300,300,76a0cd2c3803332b49c55964bd9c34a853621701de58614111e7309b4be28cea,3591637112918259883,group-00115,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182224.jpg,Healthy,300,300,482c2a5d44068e6c72456e8f57ad2c4dc03e90d0179c724f5cf30fa57fa2dfc5,5081997452230149355,group-00116,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182228.jpg,Healthy,300,300,d9a62eb667f0ed8638442f90d4219ffa3867b5e9beef4b8ea37b49b5aed58426,6395575698519167482,group-00117,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181557.jpg,Healthy,300,300,5599af6733f5f1b016182f6ca9bf2e0ad939278a748f8b9ad54608429f120858,7273478511076410622,group-00118,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181612.jpg,Healthy,300,300,3277767e631bd45e19174e3e72180f9c158794f4041011b15c8d059b212a2527,2758944692621395118,group-00119,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181621.jpg,Healthy,300,300,4a571a836981c8c2e9b8e959b66c238ee2f97b4b63dd5358cfb997e0ac51a435,3345164225934017982,group-00120,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181627.jpg,Healthy,300,300,0a9ed6113db21faf70f321e83443794b1c40200ca7f67ca53b6cdb33dc08f45c,1328044658913989114,group-00121,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181631.jpg,Healthy,300,300,966985d0f3ad9f81adf2c6ad446bb08e209bf0db34412cf552107a133174e968,532165594071876091,group-00122,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181637.jpg,Healthy,300,300,6c458df626ab9f79cf10fdd112e0965bdde049431064410387c38161473ce2b2,2171618636040094203,group-00123,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181655.jpg,Healthy,300,300,bbb914ca823aece8b589659d307d555096411b929172b3c232f78a79aca35f50,5512869840661814447,group-00124,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181701.jpg,Healthy,300,300,62188fab6ebd518752c3719e7668e8fd645fc883bd6e65b664b67ab3d11e450f,5034059468183491774,group-00125,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181707.jpg,Healthy,300,300,9161aa8f8cb8c2d6ba9b78044a0bf8ceaff3adadfabb374aa7ff97e07404620e,2542454313318667518,group-00126,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181716.jpg,Healthy,300,300,06233d6a892dd0a6244a1c109b8403f99b47b09ed2e718f02f6495658b9f1d0c,246656493877515502,group-00127,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181724.jpg,Healthy,300,300,33f317a4d632e3b167d7f2b2e07435b1fcf7b7cd71c2c6901738785c021d553e,7044705441492878571,group-00128,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181730.jpg,Healthy,300,300,69440df9c3d3aaaa023c8732810683f6002ae308aba6b0ca1be6228d0dd10e86,8106993296248992939,group-00129,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181736.jpg,Healthy,300,300,2ed2db6cd295bf096a814ee8fe7a34de12b892c3fb72b507323ddc276d1e7d96,1336182035092665518,group-00130,development
