path,label,split_group,split
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.57.jpeg,Healthy,group-00025,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.07.jpeg,Healthy,group-00026,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.26.jpeg,Healthy,group-00027,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.47.jpeg,Healthy,group-00028,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.50.jpeg,Healthy,group-00029,development
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.54.07.jpeg,Healthy,group-00030,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0053.jpg,Healthy,group-00031,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0054.jpg,Healthy,group-00032,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0055.jpg,Healthy,group-00033,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0056.jpg,Healthy,group-00034,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0057.jpg,Healthy,group-00035,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0058.jpg,Healthy,group-00036,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0059.jpg,Healthy,group-00037,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0060.jpg,Healthy,group-00038,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0061.jpg,Healthy,group-00039,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0062.jpg,Healthy,group-00040,development
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0063.jpg,Healthy,group-00041,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0064.jpg,Healthy,group-00042,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0065.jpg,Healthy,group-00043,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0066.jpg,Healthy,group-00044,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181002.jpg,Healthy,group-00045,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181007.jpg,Healthy,group-00046,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181010.jpg,Healthy,group-00047,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181021.jpg,Healthy,group-00048,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181027.jpg,Healthy,group-00049,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181030.jpg,Healthy,group-00050,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181035.jpg,Healthy,group-00051,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181039.jpg,Healthy,group-00052,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181050.jpg,Healthy,group-00053,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181057.jpg,Healthy,group-00054,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181101.jpg,Healthy,group-00055,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181104.jpg,Healthy,group-00056,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181118.jpg,Healthy,group-00057,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181128.jpg,Healthy,group-00058,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181133.jpg,Healthy,group-00059,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181145.jpg,Healthy,group-00060,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181208.jpg,Healthy,group-00061,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181213.jpg,Healthy,group-00062,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181225.jpg,Healthy,group-00063,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181231.jpg,Healthy,group-00064,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181236.jpg,Healthy,group-00065,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181240.jpg,Healthy,group-00066,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181250.jpg,Healthy,group-00067,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181255.jpg,Healthy,group-00068,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181315.jpg,Healthy,group-00069,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181319.jpg,Healthy,group-00070,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181538.jpg,Healthy,group-00071,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181542.jpg,Healthy,group-00072,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181549.jpg,Healthy,group-00073,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181603.jpg,Healthy,group-00074,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181607.jpg,Healthy,group-00075,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181617.jpg,Healthy,group-00076,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181621.jpg,Healthy,group-00077,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181626.jpg,Healthy,group-00078,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181631.jpg,Healthy,group-00079,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181646.jpg,Healthy,group-00080,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181649.jpg,Healthy,group-00081,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181657.jpg,Healthy,group-00082,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181703.jpg,Healthy,group-00083,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181712.jpg,Healthy,group-00084,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181717.jpg,Healthy,group-00085,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181730.jpg,Healthy,group-00086,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181758.jpg,Healthy,group-00087,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181804.jpg,Healthy,group-00088,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181808.jpg,Healthy,group-00089,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181815.jpg,Healthy,group-00090,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181939.jpg,Healthy,group-00091,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181944.jpg,Healthy,group-00092,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181949.jpg,Healthy,group-00093,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181954.jpg,Healthy,group-00094,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182000.jpg,Healthy,group-00095,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182004.jpg,Healthy,group-00096,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182012.jpg,Healthy,group-00097,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182022.jpg,Healthy,group-00098,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182027.jpg,Healthy,group-00099,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182032.jpg,Healthy,group-00100,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182035.jpg,Healthy,group-00101,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182038.jpg,Healthy,group-00102,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182045.jpg,Healthy,group-00103,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182055.jpg,Healthy,group-00104,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182100.jpg,Healthy,group-00105,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182108.jpg,Healthy,group-00106,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182116.jpg,Healthy,group-00107,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182123.jpg,Healthy,group-00108,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182128.jpg,Healthy,group-00110,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182130.jpg,Healthy,group-00110,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182142.jpg,Healthy,group-00111,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182145.jpg,Healthy,group-00112,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182201.jpg,Healthy,group-00113,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182215.jpg,Healthy,group-00114,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182219.jpg,Healthy,group-00115,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182224.jpg,Healthy,group-00116,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_182228.jpg,Healthy,group-00117,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181557.jpg,Healthy,group-00118,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181612.jpg,Healthy,group-00119,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181621.jpg,Healthy,group-00120,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181627.jpg,Healthy,group-00121,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181631.jpg,Healthy,group-00122,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181637.jpg,Healthy,group-00123,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181655.jpg,Healthy,group-00124,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181701.jpg,Healthy,group-00125,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181707.jpg,Healthy,group-00126,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181716.jpg,Healthy,group-00127,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181724.jpg,Healthy,group-00128,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181730.jpg,Healthy,group-00129,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181736.jpg,Healthy,group-00130,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181742.jpg,Healthy,group-00131,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181751.jpg,Healthy,group-00132,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181754.jpg,Healthy,group-00133,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20190923_181800.jpg,Healthy,group-00134,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165053.jpg,Healthy,group-00136,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165056.jpg,Healthy,group-00136,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165059.jpg,Healthy,group-00137,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165103.jpg,Healthy,group-00138,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165109.jpg,Healthy,group-00139,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165113.jpg,Healthy,group-00140,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165119.jpg,Healthy,group-00141,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165124.jpg,Healthy,group-00142,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165130.jpg,Healthy,group-00143,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165135.jpg,Healthy,group-00144,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165143.jpg,Healthy,group-00145,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165146.jpg,Healthy,group-00146,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165151.jpg,Healthy,group-00147,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165155.jpg,Healthy,group-00148,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165201.jpg,Healthy,group-00149,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165208.jpg,Healthy,group-00150,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165213.jpg,Healthy,group-00151,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165225.jpg,Healthy,group-00152,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165232.jpg,Healthy,group-00153,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165237.jpg,Healthy,group-00154,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165246.jpg,Healthy,group-00157,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165250.jpg,Healthy,group-00157,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165252.jpg,Healthy,group-00157,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165257.jpg,Healthy,group-00158,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165302.jpg,Healthy,group-00159,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165308.jpg,Healthy,group-00160,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165321.jpg,Healthy,group-00161,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165347.jpg,Healthy,group-00162,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165349.jpg,Healthy,group-00163,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165353.jpg,Healthy,group-00164,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165357.jpg,Healthy,group-00165,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165403.jpg,Healthy,group-00166,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165410.jpg,Healthy,group-00167,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165413.jpg,Healthy,group-00168,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191022_165418.jpg,Healthy,group-00169,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104311.jpg,Healthy,group-00170,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104317.jpg,Healthy,group-00171,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104319.jpg,Healthy,group-00172,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104326.jpg,Healthy,group-00173,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104334.jpg,Healthy,group-00174,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104336.jpg,Healthy,group-00175,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104339.jpg,Healthy,group-00176,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104347.jpg,Healthy,group-00177,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104350.jpg,Healthy,group-00178,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104357.jpg,Healthy,group-00179,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104359.jpg,Healthy,group-00180,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104408.jpg,Healthy,group-00181,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104410.jpg,Healthy,group-00183,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104411.jpg,Healthy,group-00183,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104414.jpg,Healthy,group-00184,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104415.jpg,Healthy,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104416.jpg,Healthy,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104416_1.jpg,Healthy,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104417.jpg,Healthy,group-00188,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104425.jpg,Healthy,group-00189,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104426.jpg,Healthy,group-00192,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104426_1.jpg,Healthy,group-00192,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104428.jpg,Healthy,group-00192,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104446.jpg,Healthy,group-00194,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104447.jpg,Healthy,group-00194,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104448.jpg,Healthy,group-00195,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104455.jpg,Healthy,group-00197,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104457.jpg,Healthy,group-00197,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104458.jpg,Healthy,group-00198,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104503.jpg,Healthy,group-00199,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104505.jpg,Healthy,group-00200,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104522.jpg,Healthy,group-00201,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104525.jpg,Healthy,group-00204,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104526.jpg,Healthy,group-00204,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104527.jpg,Healthy,group-00204,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104534.jpg,Healthy,group-00206,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104535.jpg,Healthy,group-00206,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104536.jpg,Healthy,group-00207,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104539.jpg,Healthy,group-00209,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104540.jpg,Healthy,group-00209,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104543.jpg,Healthy,group-00210,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104547.jpg,Healthy,group-00211,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104559.jpg,Healthy,group-00213,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104601.jpg,Healthy,group-00213,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104602.jpg,Healthy,group-00214,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104607.jpg,Healthy,group-00215,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104608.jpg,Healthy,group-00216,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104613.jpg,Healthy,group-00217,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104616.jpg,Healthy,group-00218,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104623.jpg,Healthy,group-00219,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104626.jpg,Healthy,group-00222,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104627.jpg,Healthy,group-00222,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104628.jpg,Healthy,group-00222,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104629.jpg,Healthy,group-00223,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104631.jpg,Healthy,group-00226,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104632.jpg,Healthy,group-00226,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104632_1.jpg,Healthy,group-00226,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104650.jpg,Healthy,group-00228,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104651.jpg,Healthy,group-00228,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104652.jpg,Healthy,group-00230,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104653.jpg,Healthy,group-00230,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104654.jpg,Healthy,group-00232,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104655.jpg,Healthy,group-00232,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104714.jpg,Healthy,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104715.jpg,Healthy,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104717.jpg,Healthy,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104718.jpg,Healthy,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104719.jpg,Healthy,group-00237,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104721.jpg,Healthy,group-00238,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104724.jpg,Healthy,group-00240,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104725.jpg,Healthy,group-00240,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104726.jpg,Healthy,group-00241,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104729.jpg,Healthy,group-00242,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104730.jpg,Healthy,group-00243,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104732.jpg,Healthy,group-00244,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104735.jpg,Healthy,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104736.jpg,Healthy,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104737.jpg,Healthy,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104739.jpg,Healthy,group-00248,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104742.jpg,Healthy,group-00249,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104743.jpg,Healthy,group-00250,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104746.jpg,Healthy,group-00251,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104748.jpg,Healthy,group-00252,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104756.jpg,Healthy,group-00253,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104757.jpg,Healthy,group-00255,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104758.jpg,Healthy,group-00255,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104802.jpg,Healthy,group-00257,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104803.jpg,Healthy,group-00257,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104804.jpg,Healthy,group-00258,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104805.jpg,Healthy,group-00261,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104806.jpg,Healthy,group-00261,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104807.jpg,Healthy,group-00261,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104808.jpg,Healthy,group-00262,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104810.jpg,Healthy,group-00263,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104812.jpg,Healthy,group-00264,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104815.jpg,Healthy,group-00265,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104817.jpg,Healthy,group-00267,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104817_1.jpg,Healthy,group-00267,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104819.jpg,Healthy,group-00268,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104819_1.jpg,Healthy,group-00269,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104821.jpg,Healthy,group-00270,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104822.jpg,Healthy,group-00271,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104823.jpg,Healthy,group-00272,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104825.jpg,Healthy,group-00273,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104828.jpg,Healthy,group-00274,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104828_1.jpg,Healthy,group-00275,development
Nagpur_Region_Basil_Plant_Healthy/IMG_20191104_104831.jpg,Healthy,group-00276,development
