path,label,group,width,height,sha256,pixel_sha256,phash,split_group,split,role
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.03.jpeg,Healthy,,247,520,6feea6cde32f7f2877f5443e1e59a53925a89e414c7e09447e51ae79d4934638,bab13a5f734f613e3f43d075ced5ea37c07fcef32f5028383a55232451c5164a,1413582487803031875,group-00011,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.04.jpeg,Healthy,,247,520,7cd8c951cbcdd158511cdf509e5dd5645c2f0d9f491338704b4e10034ba7edbf,9aaf260f1c1d7702719eda94dd5b7bf79c901a81d52c20fce1d0c67b21b91bf9,16813860223130002,group-00012,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05 (1).jpeg,Healthy,,247,520,566000db6222be1a5fccf7ebad863f6c2ce5c72aad9ee367cb82f82d1ca86b33,b763de1486096527b47d03affa1d7f41ffaff0da8b9fa3f542b5cc4148207096,6519034844587192537,group-00013,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.05.jpeg,Healthy,,247,520,cee1e2cae99bb06ded396500b3e7a84d2f8459ce6e1972cf44a84da1029d15b4,de4a3ee4eda46cf754c34d6fecc3298d3b4b31e989ed04cedd9b01667aedfcb1,928917241357808293,group-00014,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (1).jpeg,Healthy,,520,247,23f40707e481fa56bdb9efee6ee252aab8e321b77ab263b7342973e354296b99,1a661804c39dca52a0fbfe0ed3a556e1602e60825ccc4105d09ed68173feab24,4481294828022597527,group-00015,development,val
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06 (2).jpeg,Healthy,,520,247,a6dda55d121e8b88db6eaab9890c389ae9a9ddac21eef796fab94415f7bbed84,03524c7d2819d5b69f079ce17198ed86f2d9f4425372b68f716b4c3aae88d46a,3498857871607327286,group-00016,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.06.jpeg,Healthy,,247,520,2259e1a03f9324966bd5b3f9e8d3db2f26bca6bbd32b5bfeaf3c5c5bebad63de,23d8b25ca3983afb8c48558e2d40bd2f35e74a8789f4545e771c36f286a1305b,7569515456188525772,group-00017,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.07.jpeg,Healthy,,520,247,6fa46db9dbd0034130eb894cd1c07f57d31f9c4d00b202addbc1b703532d9966,48ed96f01908df5557dabc292b5a13a1bfe09d0dde3cba2e7e3fbab869fc2977,3741499131843259528,group-00018,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08 (1).jpeg,Healthy,,247,520,bcb641fef1ba0795dfb8700edaaa0267e39265adc0c708804cd9663535efb0c7,16c1ca2f2811e0deee283a3af699f81d385a0aa64c4e2850ebaf46cb497eed6e,5318790423925631660,group-00019,development,val
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 10.53.08.jpeg,Healthy,,247,520,dc2784ba7deed61c4e2a11d63668ba00ac012b1a816c4ba499b5733ac6361321,d78cc62258824b33abe87484af94850e9ce85227ff1a35fb3ea01bc03629014f,4395910859387790567,group-00020,development,val
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.46.jpeg,Healthy,,390,520,28e75fc6404d7f56a595fecb9bcb00be97155905e250aed95a8bd5f97077b521,9b8f20088a295adc83ccdfb58edb25b0c57072fb380025a4fdff5bba631db2f5,8823898160642420175,group-00021,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.49.52.jpeg,Healthy,,390,520,4f4bcca181f4e5a86fd9bd62008357c8a87f2fad64f8bf5212e761c688fbac92,a26b79eb2ac3195594a56c6f73db8493d6367fc51c98921cdb6544b0015377a4,8898052338096406699,group-00022,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.25.jpeg,Healthy,,390,520,5581090b5d8aeed771b2ea044cce1488fec4fa38434999392f7586f6166f7c82,a5334bd7c2633ebacdce158b975d996a4d957d181680936250bc91cd3360be95,4975471847001184475,group-00023,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.43.jpeg,Healthy,,390,520,0de55be057ffe5ec1f2fcafa1744e653fc95c56068a52a4df341588f31bcdc64,b629947b010ef722a9d7fdaee2ce5e50ad9a2d13f8cd9b0c31ffc2a02996ffa7,559432739267136907,group-00024,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.51.57.jpeg,Healthy,,520,390,a3c8407d22f8b832b32da6642b6804bcdd3954883b32ea65c38c2d9ef18bbb6a,ec9b237e19aba1775a443c148a17d720292bc4a98ac344a21651bc25d6cc8bd9,1552111872680512444,group-00025,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.07.jpeg,Healthy,,390,520,9f419567a2899a69502e2242c9fde69ddcb43294f210399c25a9500cd62d0f24,4d1c165b43408d86a2f52d93d4859d164cd4a43b9eeaf38bcf0c9c1c3c616341,2127931292002693147,group-00026,development,val
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.26.jpeg,Healthy,,390,520,f33e9abb397ddcec54ed6fb07081d1ce2efcfc84761cd16a73a625b51aa4688d,f226f67753dd2cfc006ae07ab1fc2198e01d5addc70876269546bb5412e72468,2688848096179641539,group-00027,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.47.jpeg,Healthy,,390,520,40f3f15ef73287e88c4024139035cfc80cc296b9abdc68443886770c8cf73cc3,89964849050343936fdb2dde0e4e0b73231992b61cbb56342b26988f5b94ec5b,3740671709092270478,group-00028,test,test
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.52.50.jpeg,Healthy,,390,520,572b7590977e07b3f34b96e3c279a9614259e692443ec032217004dc8bc82cdd,58e1145495d0f826dae25327a658da87d1f89296542bd43c114715994d897313,8669278671224525037,group-00029,development,train
Amravati_Region_Basil_Plant_Healthy/WhatsApp Image 2019-09-08 at 17.54.07.jpeg,Healthy,,520,390,35ac1852214e0a2683edea9eb843678ff066cbee85ff4287f8542ccaf107f8a8,177897e1355b0f0c7163ff293e67ec1f795f261d2f4146e3f8a3d6c0f58b0e2a,2870306830058391231,group-00030,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0053.jpg,Healthy,,300,300,666110272b517681cbcf1df2ad67de3e2d7958aa95a5105aec303ad34053fb09,609b76e120bb93a115264d452a8a0e7b9051756327dd54baf8f038137337bf4d,4469333868147103320,group-00031,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0054.jpg,Healthy,,300,300,7be5f28fbf9dcaf7c9050e2da0bfc7059117a7e828a6c35c34d80b273215ced4,76245d1f8a03ec171d46aacab69a1944ffaf694654fd4a9c5c741b73a49e399a,3214518286354379227,group-00032,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0055.jpg,Healthy,,300,300,ceae6c97d8ff36b509fdc4f74a4b41b4ea74617c5c02ef133587963f01fdb612,dda2d7616ecb0461165703e333cd912a3dae2f4e85ba493c27adb738c14fc1b2,3588440255010057427,group-00033,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0056.jpg,Healthy,,300,300,9a3a6c1cae2ef98d317c54482403f1ae016adfc3b202416ed5c1df445a1c6059,b0750c30dc9aba93cf5ef021139c9be4d56200ae64cdc9264765affa02a6cb5c,4055007375633393100,group-00034,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0057.jpg,Healthy,,300,300,650e8d4f3cc2e214638432b12a037bd9c00fb6547a4b73eeb252826240442c29,6f9eae0676d74cf866a3239e2e0083dbce1c50a6830c08148e0690767001321a,5076186576933354568,group-00035,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0058.jpg,Healthy,,300,300,f9f7c5596b1f5d752c5ee6db5d1e94864a43c171a8d769e5d11c63cabddded37,70049241eca4e924e032ef995c1de66b00c95cd8d661e59fc0327c94da48d0b9,7988261220831971148,group-00036,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0059.jpg,Healthy,,300,300,c7cf8d20bbe80d100a5563454fc74543b682dea042926991537f42be35d6ccb0,63b00bba350f5334484a336675c1aa21c46215aa31110cfa017d918852971eac,3804777870688774236,group-00037,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0060.jpg,Healthy,,300,300,ea662334e55c51a9263d3e42d125ab7b45428f536d01237ac5ba3cabea9e8900,d9d7ff5436f505ec4101977dd99cbbffc11f41c544db0d861fecea5b7ac8a8fb,6776848410228273964,group-00038,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0061.jpg,Healthy,,300,300,34c17672937985204f33baab1fbaf98b47e34bd1dfdf08c8373ac5d1520ea569,f4e4a81ace8a7ae31c09043a9554cc5919cb6c3e0444b85744f199f495370bc5,1951015319320620190,group-00039,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0062.jpg,Healthy,,300,300,13537cf5055dc8abb5d65fe0ec7b3f9f168f4de1c27899482178f075d238752c,41d0303bbe8a1069e82f5cfa28fe517a3ca02459bb5bd0e58e8cf959df7eb07b,1785795558560475848,group-00040,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0063.jpg,Healthy,,300,300,8728fa29327029b96c4a9e9a27e238d71aa08e0dcf0fa088bea5963aaf446274,d4a5af7f59798f41304ef0823bb6fe097c954f3f63a09ba1dc251cc08f6ecba5,1664331798073973142,group-00041,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0064.jpg,Healthy,,300,300,2723b27145d041f5f2cc02705dab9937f18666717a20562a5477e44fee64e564,261c8ff6e75d0f8c130b4bf71c0066388e81573beb1c8c9983d6ec9ea5357e8b,1029971784825518478,group-00042,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0065.jpg,Healthy,,300,300,983d52b588fda424e03c776756dbdbf4386203db5aae490eccc31951f37d3e4d,d32468dbee2b660dd3ad040653398cfba436e5ca69240f4d84a93d3c5dd33bf3,3707530235285281174,group-00043,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG-20191027-WA0066.jpg,Healthy,,300,300,8d28221116749e545782b4c2e9df25198cabf4d773981e625c82cdfd130131c9,1bfdad1e01aa789d0b7531d5949b91102d83c2fd079aca6604507ed6007df043,5051687730389675206,group-00044,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181002.jpg,Healthy,,300,300,73d8e0f5ac030dbb0965f0824202d6fcf141f45e47badc0b9633972d93761147,e8473d1091bdd04edb82f298c5dd3cc6096a3737048a059bf0de34b0ae0345a7,7245439762807136699,group-00045,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181007.jpg,Healthy,,300,300,73e2eb3945160d337a4d18f94c948f97081573b31c4e0386949da498e2888c2f,bc4faacefd599e14ed71119a9619118fb39f8ef0502961ac2d7a50b411922372,4732372489211425979,group-00046,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181010.jpg,Healthy,,300,300,af9ca2acdc0f64f0269346c67419fb32905398d49fa8bfeaab55693bbd666f57,ec1e0aed971b06edcfe98591f778e199434c2d892034c34b5b5324675ed9152e,1824971243552920766,group-00047,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181021.jpg,Healthy,,300,300,4aac289992f3bcda48b2108a3c98aceadc8e5598e0b66782609a463421db8862,61023b7e712cdc559b31eeb49750f247bb4b48f8a0d0fad229d90ddb20ef95e6,5438277507959886318,group-00048,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181027.jpg,Healthy,,300,300,11c578ab7afc9969d4dbf31271df1436ed90549c7d196cdee1cdd23da37f2685,32c3263b81369b9de4c66d6e9d0c8f22acec984d39d927bd7a0ab5ccf84ef33b,2059096721744351659,group-00049,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181030.jpg,Healthy,,300,300,62fe379cc102c3fc11ae38f00347880a4eec7e054f0131e8808b938d02d5a0f6,10ae5b44b6b4abf1603d76ec475713e75ca2da8ffc45f1e1c74e7039604a1486,930417417409475070,group-00050,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181035.jpg,Healthy,,300,300,12ce423fa8d6652af01d3f8d292f92ae1b624ddbfd005c38c640ed99b4b1d8a2,ff827dda248c0cbdf4161f1716aebe636e86d8876b8fb368810798bec5d62360,7542618622277142010,group-00051,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181039.jpg,Healthy,,300,300,bbf1e52e4d6a409af97ce5fb1aed805d7ca6d2c918b26053c76de48b062da4d4,7508dd8101a75d104fbda7e47b73f0f2f23fba0e65b21bca3e8425ed52299e8f,7252136479631303870,group-00052,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181050.jpg,Healthy,,300,300,7730f0416d72e62fd84de5aaca1f5612bc5c012e4b63ff2bb7be68c89fe4d246,73974ffc9503098af7e2ba186dd546db4040ca140682ef6fe6ccfe14dcbf5615,5486380396170330555,group-00053,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181057.jpg,Healthy,,300,300,8d50a9c5ef1a21a37c44ac55e75af79a20fff74dff18bd1152cf09c7a6879492,4cad45cb01d6fbe2ecb3910c58d874bc5833ae219d9b43bf375b058c30a4d933,5303422998322312043,group-00054,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181101.jpg,Healthy,,300,300,115508cb50cac1a6520a4c695a6f4c3b07983f57d3337466535102f576e2c10f,4fe2eeda21eb70c0d661e924a439c897059c7811c16ba860341a36cb205afc8a,3220597161460371947,group-00055,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181104.jpg,Healthy,,300,300,4b4221a25a689fdd6b5b41174233ea4baeea05f0e1e01c0a939ff8c7fdfd6c16,c579583e1527caf1544f4c4d34f185cedf71abafad43d30fe4259deed87b1d56,5305692683000800427,group-00056,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181118.jpg,Healthy,,300,300,2b5fc3a67d652f7dd3fe071fcb6af716e40b0fe9721c3bb349ca1da5dfca0126,ea3b8d7612ec217ff9b3e7db5d7cd961a5d4d8c9ff5fca7f6cdb8fbecd47c9db,1807223412334929643,group-00057,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181128.jpg,Healthy,,300,300,031662dd879f3989f15b26ec356907375493ab96c0ebb51408a82fa2b7c6b145,e980ee9d0f3d0d3c852be4caa1edec0de1cd3c572b9ab2f2841896676e899c12,5417873350285210814,group-00058,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181133.jpg,Healthy,,300,300,a785b2cb636ae5fc20c576429d92d39944a1b229c5da9d1c746da5970daabc40,df5f1f52729fc89fbe9aaedc026e291291b16eb4b63063eea2986d2aa481bd70,7034133658825070142,group-00059,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181145.jpg,Healthy,,300,300,b75e8a4af703b9c82f176025fd7f612aa0059d5c6d32dd211b7f5d99a9ca14a8,d0a5e39ac88e64b4c69a32f344a2854e0c5f4c8e417e582dbc00fbe1bb8a2cf6,6241051503261073982,group-00060,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181208.jpg,Healthy,,300,300,c6dc9f104ea16b92cd1aeb9a04e13688f352858c79646fc2fd9fc7b6e410d98e,445ed0b8928be5d275a72f9aa20b7959ac605750deb10c0dde461daf5be471c3,3734130506242352315,group-00061,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181213.jpg,Healthy,,300,300,c0cc0d058073cc8e8f5f31aee6b26bcd380961f905cc17c6a565d749b1edbb6e,808aee3722020b11efc667d69675a44dd7f7e066c58bb5e1b631d1df98af2dd1,2397684542724340542,group-00062,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181225.jpg,Healthy,,300,300,13922803addd6b79ab8ed815ee8d91e22c0d0a9bb8cd043cb466c35bc20ff453,b4052da489aebbf760e10e91e21af4fe1d9e9fd1b81668b1b65bd39e66f1934e,2428441105592446059,group-00063,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181231.jpg,Healthy,,300,300,8936b34918e6ebb840abbcd95c05f28c8940d04ee05aaebbb4e039dc024bb0ed,dce28c34cfbba2a188b7b0cd349599cd2b99f2aff488dd8cb915952f81b038cc,8671241899708142843,group-00064,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181236.jpg,Healthy,,300,300,bc36cc7af43fab6ba2beb5fcbbd34d5fc3a456b2d59bc5985874d51190e31818,1c6e15bc8820e46a1593b496483f702d5db1320901abb82205314b63359bd948,2539170444114433259,group-00065,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181240.jpg,Healthy,,300,300,316f6ab10e3f3a8008e5e310ab5d65e62405a8fceef2449717ba4949f8c543c2,b156eb1bcbcfa3dd3781b4a28961eeed48921b1c099395af4246ee20e26ba9f3,3924448139906793899,group-00066,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181250.jpg,Healthy,,300,300,109a512530dadcc53970399bfc55eda21f4dd6bceca75e487cc4927ce053c17f,c2090ae99ccfb71fd1b2705e93178caed0b70cb9b72218a15b7077b9cc035560,3773579102305804782,group-00067,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181255.jpg,Healthy,,300,300,a7c05536d0cd6fa2fc6943adf1ef94e51a8e17d3006a123c710f47d29b302769,bc66f698b2599a93d7f7776cc0f440c67a3155fe5c59c33aeb7755cbddbb20d1,1976202380027790587,group-00068,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181315.jpg,Healthy,,300,300,605bddd3a85880ce78755d72d122b83c1cdfe88fc39ce8fd5f9d11588c289528,78efc0feed55d1b8dd9da38efd4e8ea37614f0d956fb6e9ec61d4043a60fd199,4834268500086642411,group-00069,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181319.jpg,Healthy,,300,300,28035ba7e711ef296dac8637cb9e4315eefbf4a9ce076a1fb35d4bcf2539ba56,aced9719f6e1d70e6bdccb3ab5e1838c206c67b61abcfbe1fe5d9a6daf3c437f,338207381347260139,group-00070,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181538.jpg,Healthy,,300,300,034af1a2fd0b1920278579e1077ae18a6cb9e540c2d5e607a9f6c43da3b75cd7,28d22bb8808f38de0bbe7a9d1bd5109e7cd86c67793706bc88b79fc82004175f,1860574423398183678,group-00071,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181542.jpg,Healthy,,300,300,933e851e9aea120fb09a0b97c1cd6865ac93fac6106b368f2b25fd6fc6f742b9,fb9b91304d889d63077f6b533d536e4278dcdc08b004aec071ce3ac63619edd7,7035992893259462782,group-00072,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181549.jpg,Healthy,,300,300,dfd2de32ea58ce6d24e52894a2a4dba4d7da0f627d594a45a8da7e9b34a4e3e5,37ca7ab83da8688c51cd90fe78ee2fed94c59f9204654f67012df9d23aa47321,3023701589426373630,group-00073,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181603.jpg,Healthy,,300,300,35a17842c00494c1376cc9b14b6f504c4a492ce42e71a8d5472aca68dd075da8,9935fec526f8dfadadf3f2d8a8ea8f060b5c1b839e84820ebe30a5f6f54c2690,5319390905132893755,group-00074,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181607.jpg,Healthy,,300,300,64392a20f257853aa282f0e89e1d58072b6b0710c34ed3a59c99d60ab0d51521,0511cd5b7c7462061a0170e1443bc1d1a1d2b38d922c20675402d523baf7a6ee,6508347342499841646,group-00075,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181617.jpg,Healthy,,300,300,38daf04a79ae9b7fba3a889e23f9ae9d188acac480a1b3f40bc9753ea66e6dc2,fdf27ee64baa4a8ef729e827de53df1dc7d23c745d9c1849a762d816c2f399ea,4156987596692201982,group-00076,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181621.jpg,Healthy,,300,300,616d6ee524d96fabb9f87da21876d29f095ce938373bdb28f67434af60edbcd2,6ffbb0316c44f3613a0419e64d09411c3383339222ca9078c78742bb51040bbf,7140623112322040750,group-00077,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181626.jpg,Healthy,,300,300,100f900773438940320f706a0b1720f9eaabbb8d82d90b604e94c4b3202bbef7,fabef64f32357a869f81a391d43685d1d88ae2157bfa96a1236e6f1d9262f967,4862909150064412414,group-00078,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181631.jpg,Healthy,,300,300,7fabfb65247ee3682771f76dc3d2898448c3e37eacf6b0edb4ca5932208706c1,f390f33515d22cf054c64013e7d5170c3525aa131c87cbf6335769dbad14c7d1,5520922692464925931,group-00079,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181646.jpg,Healthy,,300,300,1131fc856ec2b68fd2da221c2951e6ca056f0151e6f1dd776bf110137888417e,8baaca1315c201a71e5097eb904e002eba47999544f10438b46da4b2f46f4495,2163070216976126458,group-00080,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181649.jpg,Healthy,,300,300,9cd14fd815d03f2c5b5ea9e99ae97b78634e4e1c53dce47c1ca99c340bd0cc4f,c2ad9c308253ebea6a47b1ab6d98fa001ef8f91613ce64bcf314ac83014b1683,5631369475079950830,group-00081,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181657.jpg,Healthy,,300,300,63dbc3a5535cc75721b0035277ca1e25485806b99c7b53e65906da59f242d2f0,bac854e1dda3892b288f0c81346760ddb7ea8ca71d969a31941b3a02ef5eb9a2,5645269665620320750,group-00082,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181703.jpg,Healthy,,300,300,816334906baed92efca0589c5df55c97018576cb2cff27a0a44dc3bc170e7568,8cd9ec6a1e76ad865513bea920395cbccbd5e4f1eeb14e7a672eabe6c5caa6dc,565367016493826286,group-00083,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181712.jpg,Healthy,,300,300,fb0e611e35d4fb051a3e3c296db9941d165324531766294f182cadda83484aee,fb0142d236120bf80b43b762376b927d506f3e354d1410195fa6497e91f27da1,1036168496896332798,group-00084,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181717.jpg,Healthy,,300,300,a759f0f731d851a1fb8e0af43fdaae1949213ade7ead76b4343ec20f4dd12fff,fbb83977bb0d916f598e077cff1719ec8c636410ad8cb01df5eddbcf45ef0488,5285148188698141118,group-00085,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181730.jpg,Healthy,,300,300,66a915112b890d606be34d6eaf7d83bbf3a819d4e5e238017207b884605a48e0,9ec94a191bbddb21f15e34b8d2b425b3677e28406a86d268dc6396b08d67d544,2035893787050808570,group-00086,test,test
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181758.jpg,Healthy,,300,300,f26b115b5ba448a71207201134f6140bc69b70268b300b420e6ab7d4a47c761d,14e96b496f57e64a6bfc511d4b0698f39f3e852de6286ff7612833d0be94ce47,1285235401708430910,group-00087,development,train
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181804.jpg,Healthy,,300,300,fbc8dfef8b451c4632d466bade5cf6020c819f31cbf98feb150a70169b8b12bf,cd6116494a5e44c06818c49d2005f2ef9a72687cab382112d81baa967d73436f,8657687951090321278,group-00088,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181808.jpg,Healthy,,300,300,65834faa74cd24e666aafe010d3898c9afff1e21099383f0e49e90fc7ef236b8,f3e8508ae8d10a7a7c22050db285f8cbd32b97647d0476e211160c844e6a4753,4739164387911215614,group-00089,development,val
Nagpur_Region_Basil_Plant_Healthy/IMG_20190920_181815.jpg,Healthy,,300,300,2455c91eb04bc4e35c2c76d50d8b062da498aabc636ba845fad4b1f8c3c79b36,6af28329fca10a705482ba07b30655cac995f10e848134529c169e84e6c18cc9,8342014250277095166,group-00090,development,train
